WIP (name),Latest WIP view,Link to proofread cell with annotation,"State (0=Red, 1=Yellow, 2=Green, 3=Proofread)",Cell number,experimenter,date,exp_num,raw_id,field,region,nucleus ID pcg,nucleus loc pcg,cell ID pcg,ID warning/error,,New IDs (last update: 202503260847),roi_id,roi_n_pixels,roi_size_um2,super (baden),group (baden),cluster (baden),cell type,RGC or AC,EyeWire 1 type (for RGCs),most recent cell ID,field_ventral_dorsal_pos_um,field_temporal_nasal_pos_um,ventral_dorsal_pos_um,temporal_nasal_pos_um
,,,0,95,Franke,2018-10-11,2,1,GCL1,RR,720575940568788589,"35357.0,15064.0,1044.0",720575940577836184,,"35357.0,15064.0,1094.0",720575940559692936,8,29,62.6644,On Off,33,50,EW type 25,RGC,25,,-317.2,-761.4,-282.782,-749.539
,,,1,96,Franke,2018-10-11,2,1,GCL1,RR,720575940562520657,"35634.0,14614.0,1050.0",720575940549924957,,"35634.0,14614.0,1100.0",720575940576336314,9,30,64.8252,Uncertain,31,45,dAC SAD,AC,,,-317.2,-761.4,-283.243,-741.016
,,,2,97,Franke,2018-10-11,2,1,GCL1,RR,720575940555439536,"34261.0,17180.0,940.0",720575940556800348,,"34261.0,17180.0,990.0",720575940555530306,10,29,62.6644,dAC,46,75,SAC,AC,,,-317.2,-761.4,-283.999,-783.653
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6237734311034880,3,98,Franke,2018-10-11,2,1,GCL1,RR,720575940569162349,"35820.0,14232.0,1079.0",720575940562082969,,"35820.0,14232.0,1139.0",720575940554734530,11,14,30.2518,dAC,42,70,,AC,,,-317.2,-761.4,-283.6,-733.575
,,,0,99,Franke,2018-10-11,2,1,GCL1,RR,720575940562664785,"36472.0,13688.0,1103.0",720575940549540189,,"36472.0,13688.0,1168.0",720575940549540189,12,31,66.9861,dAC,41,64,A1,AC,,,-317.2,-761.4,-288.132,-720.335
,,,2,100,Franke,2018-10-11,2,1,GCL1,RR,720575940558168373,"34802.0,16613.0,933.0",720575940575817624,,"34802.0,16613.0,993.0",720575940561751884,13,36,77.7903,Off,4,5,ON OS,RGC,"82n, 82wi, or 82wo",,-317.2,-761.4,-286.943,-772.016
,,,0,101,Franke,2018-10-11,2,1,GCL1,RR,720575940573823097,"36210.0,13846.0,971.0",720575940548229981,,"36210.0,13846.0,1026.0",720575940557069666,14,15,32.4126,On Off,12,17,,RGC,,,-317.2,-761.4,-285.448,-727.003
,,,2,102,Franke,2018-10-11,2,1,GCL1,RR,720575940555457712,"33904.0,17989.0,865.0",720575940572600728,,"33904.0,17989.0,910.0",720575940563211137,15,26,56.1819,dAC,43,71,UHD,RGC,5ti,,-317.2,-761.4,-286.387,-798.263
,,,2,103,Franke,2018-10-11,2,1,GCL1,RR,720575940558213685,"35107.0,16200.0,987.0",720575940558215261,,"35107.0,16200.0,1072.0",720575940536675507,16,24,51.8602,dAC,35,54,WFAC,AC,,,-317.2,-761.4,-289.577,-764.156
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6500894691557376,3,104,Franke,2018-10-11,2,1,GCL1,RR,720575940539933604,"34348.0,17772.0,884.0",720575940559132764,,"34348.0,17772.0,899.0",720575940559132764,17,33,71.3078,dAC,42,65,WFAC spiny,AC,,,-317.2,-761.4,-290.384,-789.82
,,,1,105,Franke,2018-10-11,2,1,GCL1,RR,720575940560843603,"34822.0,17179.0,882.0",720575940555305052,,"34822.0,17179.0,917.0",720575940555305052,18,15,32.4126,dAC,42,69,,AC,,,-317.2,-761.4,-292.7,-778.648
,,,0,106,Franke,2018-10-11,2,1,GCL1,RR,720575940573585529,"35530.0,16006.0,960.0",720575940558254173,,"35572.0,16002.0,1025.0",720575940572470077,19,18,38.8951,On Off,11,16,,RGC,,,-317.2,-761.4,-292.374,-757.317
,,,1,107,Franke,2018-10-11,2,1,GCL1,RR,720575940570979195,"35862.0,15248.0,990.0",720575940577751549,,"35862.0,15248.0,1105.0",720575940577751549,20,19,41.056,dAC,46,75,SAC,AC,,,-317.2,-761.4,-291.978,-746.236
,,,2,108,Franke,2018-10-11,2,1,GCL1,RR,720575940562660177,"36503.0,14881.0,920.0",720575940551254620,,"36503.0,14881.0,940.0",720575940554576870,21,69,149.098,dAC,38,60,ON alpha,RGC,8w,,-317.2,-761.4,-294.085,-735.047
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5680091326578688,3,109,Franke,2018-10-11,2,1,GCL1,RR,720575940561222246,"34312.0,18423.0,848.0",720575940551102301,,"34235.0,18428.0,930.0",720575940551102301,22,16,34.5735,dAC,41,64,WFAC,AC,,,-317.2,-761.4,-295.15,-799.068
,,,0,110,Franke,2018-10-11,2,1,GCL1,RR,720575940542772288,"37099.0,13789.0,1115.0",720575940561803394,,"37099.0,13789.0,1215.0",720575940536675763,23,12,25.9301,On Off,14,45,,RGC,,,-317.2,-761.4,-295.885,-716.811
,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6656012133072896,,1,111,Franke,2018-10-11,2,1,GCL1,RR,720575940573582457,"35941.0,15857.0,982.0",720575940556257117,,"35941.0,15857.0,1022.0",720575940556257117,24,26,56.1819,dAC,41,69,WFAC,AC,,,-317.2,-761.4,-297.694,-752.354
Greg,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5401493709520896,,2,112,Franke,2018-10-11,2,1,GCL1,RR,720575940543485509,"35127.0,16982.0,769.0",720575940550175837,,"35127.0,16982.0,829.0",720575940550175837,25,17,36.7343,Off,43,71,OFF tr. SmRF,RGC,4i,,-317.2,-761.4,-297.053,-772.036
Greg,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6439447718526976,,2,113,Franke,2018-10-11,2,1,GCL1,RR,720575940559857389,"37002.0,14487.0,1034.0",720575940553988701,,"37002.0,14487.0,1134.0",720575940555688058,26,22,47.5385,Fast On,17,21,On tr. SmRF,RGC,6sn,,-317.2,-761.4,-298.625,-724.851
,,,2,114,Franke,2018-10-11,2,1,GCL1,RR,720575940573659400,"33861.0,18451.0,823.0",720575940553687901,,"33861.0,18451.0,923.0",720575940559084387,27,34,73.4686,Uncertain,32,49,HD2,RGC,5so,,-317.2,-761.4,-300.944,-793.61
,,,1,115,Franke,2018-10-11,2,1,GCL1,RR,720575940540557130,"35034.0,17712.0,785.0",720575940576301464,,"35034.0,17712.0,880.0",720575940570492705,28,15,32.4126,Uncertain,31,45,,AC,,,-317.2,-761.4,-299.07,-784.234
,,,2,116,Franke,2018-10-11,2,1,GCL1,RR,720575940560615961,"35354.0,17492.0,793.0",720575940559256156,,"35354.0,17492.0,803.0",720575940559256156,29,24,51.8602,On Off,14,20,ON DS sus,RGC,"7iv,r,d",,-317.2,-761.4,-302.194,-776.835
,,,2,117,Franke,2018-10-11,2,1,GCL1,RR,720575940561053779,"35782.0,16760.0,951.0",720575940549996893,,"35782.0,16760.0,1016.0",720575940578274762,30,30,64.8252,dAC,37,62,WFAC,AC,,,-317.2,-761.4,-301.52,-763.85
,,,2,118,Franke,2018-10-11,2,1,GCL1,RR,720575940569375869,"36498.0,15710.0,903.0",720575940572704152,,"36498.0,15710.0,928.0",720575940572704152,31,31,66.9861,Uncertain,32,49,OFF tr. MeRF,RGC,4ow?,,-317.2,-761.4,-303.354,-744.566
,,,1,119,Franke,2018-10-11,2,1,GCL1,RR,720575940549199434,"37362.0,14395.0,1104.0",720575940570550169,,"37362.0,14395.0,1124.0",720575940570550169,32,26,56.1819,Fast On,35,54,,RGC,,,-317.2,-761.4,-303.97,-719.562
,,,2,120,Franke,2018-10-11,2,1,GCL1,RR,720575940560403181,"36954.0,15352.0,1027.0",720575940572677528,,"36954.0,15352.0,1087.0",720575940572677528,33,62,133.972,On Off,14,20,HD1?,RGC,5si?,,-317.2,-761.4,-307.052,-733.138
,,,0,121,Franke,2018-10-11,2,1,GCL1,RR,720575940561995110,"35274.0,18413.0,804.0",720575940577784728,,"35274.0,18413.0,809.0",720575940577784728,34,28,60.5036,dAC,42,67,,RGC,,,-317.2,-761.4,-307.593,-788.49
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4720941176193024,3,122,Franke,2018-10-11,2,1,GCL1,RR,720575940576220214,"36323.0,16443.0,952.0",720575940558625333,,"36323.0,16443.0,1012.0",720575940558625333,35,28,60.5036,dAC,10,14,HD1?,RGC,5si?,,-317.2,-761.4,-306.595,-755.1
,,,0,123,Franke,2018-10-11,2,1,GCL1,RR,720575940560715545,"35763.0,18077.0,786.0",720575940567425333,,"35763.0,18077.0,836.0",720575940567938810,36,43,92.9162,Uncertain,32,49,,RGC,,,-317.2,-761.4,-312.995,-780.236
,,,2,124,Franke,2018-10-11,2,1,GCL1,RR,720575940555082820,"36241.0,17698.0,828.0",720575940576560438,,"36241.0,17698.0,883.0",720575940576560438,37,42,90.7553,On Off,12,17,OODS Hb9,RGC,37d,,-317.2,-761.4,-313.49,-770.85
,,,0,125,Franke,2018-10-11,2,1,GCL1,RR,720575940541102785,"36261.0,17008.0,882.0",720575940571143537,,"36261.0,17008.0,972.0",720575940571143537,38,12,25.9301,dAC,2,2,Fmini OFF,RGC,2an,,-317.2,-761.4,-310.83,-763.482
,,,2,126,Franke,2018-10-11,2,1,GCL1,RR,720575940561556285,"36901.0,16226.0,1001.0",720575940551302748,,"36901.0,16226.0,1051.0",720575940550093095,39,28,60.5036,On Off,14,20,UHD,RGC,5ti,,-317.2,-761.4,-312.213,-746.438
,,,1,127,Franke,2018-10-11,2,1,GCL1,RR,720575940537107413,"35260.0,19062.0,821.0",720575940577582589,,"35260.0,19062.0,881.0",720575940577582589,40,21,45.3777,dAC,46,75,SAC,AC,,,-317.2,-761.4,-312.79,-795.209
,,,0,128,Franke,2018-10-11,2,1,GCL1,RR,720575940559606591,"37628.0,16160.0,1018.0",720575940577098550,,"37628.0,16160.0,1023.0",720575940577098550,41,26,56.1819,On Off,11,16,,RGC,,,-317.2,-761.4,-317.935,-738.615
,,,0,129,Franke,2018-10-11,2,1,GCL1,RR,720575940572009658,"38096.0,15181.0,1016.0",720575940577854717,,"38096.0,15181.0,1036.0",720575940577854717,42,48,103.72,Uncertain,32,48,,RGC,,,-317.2,-761.4,-318.364,-720.7
,,,0,130,Franke,2018-10-11,2,1,GCL1,RR,720575940554151290,"36880.0,17227.0,988.0",720575940562128025,,"36880.0,17227.0,1028.0",720575940562128025,43,46,99.3987,dAC,43,71,,RGC,,,-317.2,-761.4,-318.223,-758.172
,,,0,131,Franke,2018-10-11,2,1,GCL1,RR,720575940572081082,"37747.0,15701.0,1011.0",720575940578351158,,"37747.0,15701.0,1036.0",720575940567494294,44,25,54.021,Slow On,28,38,ON delayed,RGC,73,,-317.2,-761.4,-318.317,-730.236
,,,0,132,Franke,2018-10-11,2,1,GCL1,RR,720575940572805896,"35866.0,18756.0,830.0",720575940561710305,,"36102.0,19050.0,853.0",720575940561710305,45,22,47.5385,On Off,2,2,Fmini OFF,RGC,2an,,-317.2,-761.4,-318.937,-786.39
,,,2,133,Franke,2018-10-11,2,1,GCL1,RR,720575940552583180,"35932.0,19449.0,736.0",720575940558841948,"Same cell, Ca field overlap! (01)","35932.0,19449.0,791.0",720575940558841948,46,46,99.3987,Fast On,18,26,ON tr. MeRF,RGC,6sn,,-317.2,-761.4,-321.993,-796.711
,,,1,134,Franke,2018-10-11,2,1,GCL1,RR,720575940574185157,"36789.0,18021.0,891.0",720575940577701629,,"36789.0,18021.0,951.0",720575940577701629,47,28,60.5036,Uncertain,31,45,SAC,AC,,,-317.2,-761.4,-323.71,-768.487
,,,1,135,Franke,2018-10-11,2,1,GCL1,RR,720575940572045509,"36727.0,18662.0,838.0",720575940578900376,,"36697.0,18602.0,904.0",720575940578900376,48,21,45.3777,Uncertain,31,45,SAC,AC,,,-317.2,-761.4,-326.93,-776.38
,,,1,136,Franke,2018-10-11,2,1,GCL1,RR,720575940546942120,"36550.0,19072.0,820.0",720575940577699837,,"36550.0,19072.0,890.0",720575940577699837,49,23,49.6993,dAC,46,75,SAC,AC,,,-317.2,-761.4,-328.704,-784.344
,,,2,137,Franke,2018-10-11,2,1,GCL1,RR,720575940557939765,"38316.0,16227.0,920.0",720575940559999797,,"38186.0,16411.0,966.0",720575940564764034,50,70,151.259,Off,5,6,OFF tr. alpha,RGC,4ow,,-317.2,-761.4,-329.842,-728.787
,,,2,138,Franke,2018-10-11,2,1,GCL1,RR,720575940552618508,"36037.0,20199.0,754.0",720575940558828892,"Same cell, Ca field overlap! (02)","36146.0,20279.0,809.0",720575940575784878,51,18,38.8951,Off,9,13,OFF tr. MeRF,RGC,4on,,-317.2,-761.4,-331.737,-800.599
,,,2,139,Franke,2018-10-11,2,1,GCL1,RR,720575940552630325,"36405.0,19708.0,793.0",720575940576360344,,"36405.0,19708.0,833.0",720575940576360344,52,30,64.8252,Fast On,10,14,HD1,RGC,5si,,-317.2,-761.4,-331.655,-792.515
,,,0,140,Franke,2018-10-11,2,1,GCL1,RR,720575940557791105,"37351.0,18281.0,901.0",720575940583276541,,"37351.0,18281.0,966.0",720575940561078410,53,26,56.1819,Off,2,2,1ni,RGC,1ni,,-317.2,-761.4,-332.578,-764.849
,,,2,141,Franke,2018-10-11,2,1,GCL1,RR,720575940553319938,"37876.0,17945.0,917.0",720575940555336540,,"37876.0,17945.0,1002.0",720575940555336540,54,34,73.4686,On Off,12,18,OODS,RGC,"37r,v,c",,-317.2,-761.4,-334.97,-756.169
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6129532944777216,3,142,Franke,2018-10-11,2,1,GCL1,RR,720575940574208197,"36999.0,19057.0,832.0",720575940569193112,,"36999.0,19057.0,882.0",720575940558033287,55,19,41.056,Uncertain,31,45,WFAC,AC,,,-317.2,-761.4,-334.762,-778.73
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6093761101692928,3,143,Franke,2018-10-11,2,1,GCL1,RR,720575940549202881,"37410.0,18675.0,869.0",720575940573310104,,"37410.0,18675.0,939.0",720575940573310104,56,19,41.056,Uncertain,31,46,WFAC SAD,AC,,,-317.2,-761.4,-336.232,-770.916
,,,0,144,Franke,2018-10-11,2,1,GCL1,RR,720575940549083585,"38345.0,16940.0,951.0",720575940567034429,,"38345.0,16940.0,961.0",720575940563078363,57,28,60.5036,Slow On,27,37,ON OS,RGC,,,-317.2,-761.4,-335.26,-739.665
,,,2,145,Franke,2018-10-11,2,1,GCL1,RR,720575940572013242,"39187.0,15712.0,869.0",720575940558104885,,"39187.0,15712.0,884.0",720575940558104885,58,31,66.9861,dAC,34,52,ON DS sus,RGC,"7iv,r,d",,-317.2,-761.4,-336.926,-718.344
,,,1,146,Franke,2018-10-11,2,1,GCL1,RR,720575940547320922,"38302.0,17604.0,930.0",720575940577652989,,"38208.0,17542.0,941.0",720575940556113199,59,26,56.1819,dAC,41,75,SAC,AC,,,-317.2,-761.4,-338.91,-746.926
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4682694156877824,3,147,Franke,2018-10-11,2,1,GCL1,RR,720575940549247681,"38885.0,16841.0,1003.0",720575940549312349,,"38885.0,16841.0,1038.0",720575940549312349,60,27,58.3427,Uncertain,31,45,A1,AC,,,-317.2,-761.4,-341.591,-731.565
,,,2,148,Franke,2018-10-11,2,1,GCL1,RR,720575940574221509,"36884.0,20356.0,722.0",720575940556297053,"Same cell, Ca field overlap! (03)","36884.0,20356.0,727.0",720575940566406645,61,30,64.8252,dAC,42,66,PixON,RGC,9n,,-317.2,-761.4,-342.729,-797.268
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5837903323201536,3,149,Franke,2018-10-11,2,1,GCL1,RR,720575940553799682,"37336.0,19530.0,802.0",720575940578939288,,"37336.0,19530.0,867.0",720575940578939288,62,16,34.5735,dAC,35,53,dAC WF mid-IPL,AC,,,-317.2,-761.4,-341.914,-782.531
,,,1,150,Franke,2018-10-11,2,1,GCL1,RR,720575940541085222,"37381.0,19129.0,842.0",720575940576442520,,"37381.0,19129.0,907.0",720575940556201191,63,13,28.0909,Uncertain,30,45,,AC,,,-317.2,-761.4,-341.285,-775.761
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5025384581038080,3,151,Franke,2018-10-11,2,1,GCL1,RR,720575940554823070,"37854.0,18705.0,820.0",720575940562014617,,"37854.0,18705.0,910.0",720575940562014617,64,22,47.5385,Off,1,1,,RGC,,,-317.2,-761.4,-342.858,-765.075
,,,1,152,Franke,2018-10-11,2,1,GCL1,RR,720575940549824267,"37279.0,19946.0,783.0",720575940572919448,,"37217.0,19954.0,782.0",720575940572919448,65,16,34.5735,Uncertain,31,45,WFAC,AC,,,-317.2,-761.4,-343.843,-788.319
,,,2,153,Franke,2018-10-11,2,1,GCL1,RR,720575940555235230,"38479.0,18250.0,898.0",720575940550792028,,"38479.0,18250.0,963.0",720575940566442502,66,76,164.224,Uncertain,32,48,SbC EW27,RGC,27,,-317.2,-761.4,-348.147,-755.249
,,,0,154,Franke,2018-10-11,2,1,GCL1,RR,720575940554854302,"38905.0,17381.0,938.0",720575940559605823,,"38905.0,17381.0,973.0",720575940559605823,67,15,32.4126,Fast On,17,23,Fmini OFF,RGC,2an,,-317.2,-761.4,-345.032,-739.056
,,,2,155,Franke,2018-10-11,2,1,GCL1,RR,720575940553778946,"37904.0,19266.0,765.0",720575940549668957,,"37904.0,19266.0,795.0",720575940564408164,68,45,97.2379,dAC,42,70,PixON,RGC,9n,,-317.2,-761.4,-348.919,-772.703
,,,1,156,Franke,2018-10-11,2,1,GCL1,RR,720575940549419201,"38924.0,17758.0,890.0",720575940566218813,,"38924.0,17758.0,920.0",720575940566218813,69,23,49.6993,dAC,46,75,SAC,AC,,,-317.2,-761.4,-349.092,-743.377
sstroeh,,,1,157,Franke,2018-10-11,2,1,GCL1,RR,720575940574320317,"37434.0,20426.0,771.0",720575940562127769,,"37434.0,20426.0,866.0",720575940551914453,70,23,49.6993,dAC,46,45,SAC,AC,,,-317.2,-761.4,-350.179,-790.288
,,,1,158,Franke,2018-10-11,2,1,GCL1,RR,720575940551561607,"39350.0,17255.0,991.0",720575940549900381,,"39350.0,17255.0,1016.0",720575940549900381,71,26,56.1819,Uncertain,14,45,,RGC,,,-317.2,-761.4,-350.67,-732.566
,,,2,159,Franke,2018-10-11,2,1,GCL1,RR,720575940555393530,"37333.0,20997.0,702.0",720575940553930589,"Same cell, Ca field overlap! (04)","37333.0,20997.0,752.0",720575940569666057,72,32,69.1469,dAC,43,72,OODS,RGC,"37r,v,c",,-317.2,-761.4,-353.49,-799.39
,,,2,160,Franke,2018-10-11,2,1,GCL1,RR,720575940563198175,"37878.0,19957.0,758.0",720575940548183901,,"37878.0,19957.0,793.0",720575940558909841,73,31,66.9861,dAC,43,70,ON OS,RGC,72,,-317.2,-761.4,-354.329,-781.174
,,,2,161,Franke,2018-10-11,2,1,GCL1,RR,720575940572225477,"38038.0,20745.0,728.0",720575940575237272,,"38038.0,20745.0,733.0",720575940582704507,74,18,38.8951,Off,3,3,,RGC,2i or 2aw (symmetric),,-317.2,-761.4,-358.359,-788.513
,,,2,162,Franke,2018-10-11,2,1,GCL1,RR,720575940552342151,"38740.0,19331.0,842.0",720575940577698813,,"38740.0,19331.0,862.0",720575940565002479,75,25,54.021,dAC,37,57,SAC,AC,,,-317.2,-761.4,-358.477,-764.752
,,,2,163,Franke,2018-10-11,2,1,GCL1,RR,720575940556588668,"39487.0,18171.0,905.0",720575940576995638,,"39487.0,18171.0,1005.0",720575940562596631,76,31,66.9861,Off,43,71,OFF tr. SmRF,RGC,4i,,-317.2,-761.4,-358.834,-741.674
,,,2,164,Franke,2018-10-11,2,1,GCL1,RR,720575940552340871,"39155.0,18753.0,850.0",720575940578729112,,"39155.0,18753.0,875.0",720575940566360376,77,35,75.6294,On Off,12,18,OODS,RGC,"37r,v,c",,-317.2,-761.4,-359.577,-752.622
,,,2,165,Franke,2018-10-11,2,1,GCL1,RR,720575940545403331,"37843.0,21275.0,687.0",720575940578896237,"Same cell, Ca field overlap! (05)","37843.0,21275.0,747.0",720575940570533675,78,25,54.021,dAC,43,71,Fmini OFF,RGC,2an,,-317.2,-761.4,-361.005,-796.091
,,,2,166,Franke,2018-10-11,2,1,GCL2,RR,720575940557456528,"26172.0,29697.0,316.0",720575940549124701,,"26172.0,29697.0,356.0",720575940540440952,1,18,38.8951,dAC,43,67,UHD,RGC,5ti,,-317.2,-985.4,-272.937,-1024.76
,,,1,167,Franke,2018-10-11,2,1,GCL2,RR,720575940561931950,"26292.0,29061.0,309.0",720575940573498008,,"26292.0,29061.0,379.0",720575940549094100,2,11,23.7693,dAC,42,65,A1,AC,,,-317.2,-985.4,-271.497,-1017.21
,,,2,168,Franke,2018-10-11,2,1,GCL2,RR,720575940536902213,"28045.0,26042.0,368.0",720575940552840797,,"28143.0,26013.0,374.0",720575940560876523,3,18,38.8951,Uncertain,31,45,,AC,,,-317.2,-985.4,-271.467,-967.107
,,,2,169,Franke,2018-10-11,2,1,GCL2,RR,720575940555123782,"28328.0,25477.0,370.0",720575940549515357,,"28328.0,25477.0,385.0",720575940557761317,4,18,38.8951,dAC,43,71,OODS V (Hb9),RGC,37d,,-317.2,-985.4,-271.794,-956.572
,,,2,170,Franke,2018-10-11,2,1,GCL2,RR,720575940552304202,"28690.0,25078.0,429.0",720575940570465625,,"28690.0,25078.0,484.0",720575940565353474,5,33,71.3078,dAC,43,71,UHD,RGC,5ti,,-317.2,-985.4,-274.214,-947.804
,,,2,171,Franke,2018-10-11,2,1,GCL2,RR,720575940548734326,"27902.0,27099.0,311.0",720575940556488541,,"27902.0,27099.0,406.0",720575940581074302,6,20,43.2168,Uncertain,13,19,dAC SAD,AC,,,-317.2,-985.4,-275.6,-978.418
,,,2,172,Franke,2018-10-11,2,1,GCL2,RR,720575940549002197,"26785.0,29732.0,302.0",720575940576291325,,"26785.0,29732.0,362.0",720575940563154495,7,42,90.7553,Off,4,5,OFF tr. SmRF,RGC,4i,,-317.2,-985.4,-280.521,-1020.19
,,,2,173,Franke,2018-10-11,2,1,GCL2,RR,,"28721.0,27179.0,243.0",720575940573619352,Undersegmented,"28832.0,26935.0,326.0",720575940573619352,8,102,220.406,Slow On,27,37,ON alpha,RGC,8w,,-317.2,-985.4,-284.644,-970.037
,,,2,174,Franke,2018-10-11,2,1,GCL2,RR,720575940552302922,"28633.0,26002.0,276.0",720575940557803357,,"28633.0,26002.0,326.0",720575940552091409,9,18,38.8951,Uncertain,31,44,SAC,AC,,,-317.2,-985.4,-278.572,-959.43
,,,2,175,Franke,2018-10-11,2,1,GCL2,RR,720575940551984936,"27962.0,27879.0,292.0",720575940556229468,,"27962.0,27879.0,317.0",720575940560877035,10,35,75.6294,Uncertain,31,46,M6,RGC,91,,-317.2,-985.4,-282.97,-986.366
,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5492728428232704,,1,176,Franke,2018-10-11,2,1,GCL2,RR,720575940558009457,"29217.0,25986.0,362.0",720575940577505944,,"29217.0,25986.0,402.0",720575940577505944,11,27,58.3427,dAC,42,65,A1,AC,,,-317.2,-985.4,-285.732,-955.728
,,,2,177,Franke,2018-10-11,2,1,GCL2,RR,720575940550424971,"29536.0,25409.0,420.0",720575940546892125,,"29536.0,25409.0,435.0",720575940558569877,12,25,54.021,Off,32,4,3i or 3o?,RGC,3i or 3o?,,-317.2,-985.4,-284.802,-944.829
,,,2,178,Franke,2018-10-11,2,1,GCL2,RR,720575940561930158,"26726.0,30379.0,303.0",720575940577792253,,"26726.0,30379.0,363.0",720575940550367141,13,15,32.4126,dAC,7,10,,AC,,,-317.2,-985.4,-287.8,-1025.48
,,,1,179,Franke,2018-10-11,2,1,GCL2,RR,720575940554690648,"27483.0,28541.0,351.0",720575940574158462,Unlikely that they meant this,"27407.0,28470.0,384.0",720575940574158462,14,11,23.7693,Uncertain,13,19,,AC,,,-317.2,-985.4,-285.128,-996.625
,,,2,180,Franke,2018-10-11,2,1,GCL2,RR,720575940545340764,"27470.0,29591.0,315.0",720575940581856765,,"27470.0,29591.0,380.0",720575940559233157,15,21,45.3777,Uncertain,32,49,,AC,,,-317.2,-985.4,-287.8,-1011.86
,,,2,181,Franke,2018-10-11,2,1,GCL2,RR,720575940551941796,"26807.0,28239.0,334.0",720575940558905948,Unlikely that they meant this,"26807.0,28239.0,424.0",720575940563420517,16,11,23.7693,dAC,42,67,"OFF trans alpha, I think",RGC,4ow,,-317.2,-985.4,-289.003,-1003.71
,,,2,182,Franke,2018-10-11,2,1,GCL2,RR,720575940577732240,"28484.0,27897.0,261.0",720575940576989949,"Merger, therefore same OLD IDs (01)","28484.0,27897.0,286.0",720575940550236896,17,21,45.3777,dAC,42,65,A1,AC,,,-317.2,-985.4,-289.48,-980.99
,,,2,183,Franke,2018-10-11,2,1,GCL2,RR,720575940545753692,"27376.0,30263.0,309.0",720575940570665305,,"27376.0,30263.0,324.0",720575940556204519,18,20,43.2168,dAC,42,70,WFAC,AC,,,-317.2,-985.4,-292.651,-1020.75
,,,2,184,Franke,2018-10-11,2,1,GCL2,RR,720575940573975444,"28531.0,28554.0,234.0",720575940556743260,Maybe just one cell (but 19 underlying),"28531.0,28554.0,284.0",720575940564772175,19,24,51.8602,dAC,42,67,MFAC,AC,,,-317.2,-985.4,-291.782,-992.689
,,,2,185,Franke,2018-10-11,2,1,GCL2,RR,720575940577354384,"28192.0,29070.0,289.0",720575940580933629,Maybe just one cell (but 19 underlying),"28192.0,29070.0,299.0",720575940561752140,20,14,30.2518,dAC,42,67,ON OS,RGC,"82n, 82wi, or 82wo",,-317.2,-985.4,-294.73,-999.575
,,,2,186,Franke,2018-10-11,2,1,GCL2,RR,720575940541618013,"29580.0,26798.0,345.0",720575940557305692,,"29580.0,26798.0,360.0",720575940572959385,21,35,75.6294,Uncertain,31,44,M6,RGC,91,,-317.2,-985.4,-296.074,-959.822
,,,2,187,Franke,2018-10-11,2,1,GCL2,RR,720575940538801471,"30017.0,26016.0,341.0",720575940558151005,,"30017.0,26016.0,351.0",720575940564772431,22,47,101.56,dAC,40,62,M1,RGC,1ws,,-317.2,-985.4,-297.121,-946.836
,,,2,188,Franke,2018-10-11,2,1,GCL2,RR,720575940558194576,"28141.0,29674.0,296.0",720575940578151832,,"28231.0,29670.0,312.0",720575940557221244,23,41,88.5945,dAC,40,67,UHD,RGC,5ti,,-317.2,-985.4,-298.377,-1006.19
,,,2,189,Franke,2018-10-11,2,1,GCL2,RR,720575940554121124,"27834.0,30508.0,212.0",720575940577959320,,"27834.0,30508.0,277.0",720575940562446931,24,34,73.4686,Off,43,71,3o?,RGC,3o?,,-317.2,-985.4,-300.079,-1018.3
,,,1,190,Franke,2018-10-11,2,1,GCL2,RR,720575940574970747,"28963.0,28188.0,293.0",720575940576681342,,"28963.0,28188.0,308.0",720575940576681342,25,33,71.3078,Uncertain,31,46,A1,AC,,,-317.2,-985.4,-297.734,-980.055
,,,2,191,Franke,2018-10-11,2,1,GCL2,RR,720575940550850955,"29400.0,27359.0,333.0",720575940552873565,,"29400.0,27359.0,373.0",720575940556205031,26,20,43.2168,Uncertain,31,46,,AC,,,-317.2,-985.4,-298.311,-967.76
